Year,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Category,Topic,Indicator,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Confidence_limit_Low,Confidence_limit_High,Break_Out_Category,Break_Out,CategoryId,TopicId,IndicatorID,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationID,GeoLocation
1999-2000,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),7.0,7.0,,,6.0,8.1,Overall,Overall,C1,T1,NH001,AgeStdz,BOC01,OVR01,59,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Age-Standardized,Percent (%),12.5,12.5,,,7.3,20.8,Race,Other,C2,T10,NH065,AgeStdz,BOC04,RAC07,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),12.4,12.4,,,11.0,14.0,Overall,Overall,C2,T10,NH065,Crude,BOC01,OVR01,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Age-Standardized,Percent (%),12.3,12.3,,,11.0,13.8,Overall,Overall,C2,T10,NH065,AgeStdz,BOC01,OVR01,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Age-Standardized,Percent (%),15.8,15.8,,,13.9,17.8,Gender,Male,C2,T10,NH065,AgeStdz,BOC02,GEN01,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),15.7,15.7,,,13.8,17.9,Gender,Male,C2,T10,NH065,Crude,BOC02,GEN01,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),9.2,9.2,,,7.1,11.7,Gender,Female,C2,T10,NH065,Crude,BOC02,GEN02,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Age-Standardized,Percent (%),8.9,8.9,,,6.9,11.3,Gender,Female,C2,T10,NH065,AgeStdz,BOC02,GEN02,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),4.6,4.6,,,2.5,8.2,Age,20-24,C2,T10,NH065,Crude,BOC03,AGE02,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,21-24,C2,T10,NH065,Crude,BOC03,AGE03,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),12.9,12.9,,,10.8,15.5,Age,25-44,C2,T10,NH065,Crude,BOC03,AGE04,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),15.0,15.0,,,12.1,18.5,Age,45-64,C2,T10,NH065,Crude,BOC03,AGE05,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),10.0,10.0,,,7.2,13.9,Age,65+,C2,T10,NH065,Crude,BOC03,AGE06,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),13.7,13.7,,,11.9,15.8,Age,35+,C2,T10,NH065,Crude,BOC03,AGE07,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),10.2,10.2,,,7.3,14.1,Age,75+,C2,T10,NH065,Crude,BOC03,AGE08,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),13.6,13.6,,,11.6,15.9,Race,Non-Hispanic White,C2,T10,NH065,Crude,BOC04,RAC01,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Age-Standardized,Percent (%),13.6,13.6,,,11.7,15.8,Race,Non-Hispanic White,C2,T10,NH065,AgeStdz,BOC04,RAC01,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),3.8,3.8,,,2.2,6.5,Race,Non-Hispanic Black,C2,T10,NH065,Crude,BOC04,RAC02,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Age-Standardized,Percent (%),3.8,3.8,,,2.3,6.4,Race,Non-Hispanic Black,C2,T10,NH065,AgeStdz,BOC04,RAC02,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Age-Standardized,Percent (%),10.8,10.8,,,7.5,15.1,Race,Non-Hispanic Asian,C2,T10,NH065,AgeStdz,BOC04,RAC03,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),10.8,10.8,,,7.5,15.3,Race,Non-Hispanic Asian,C2,T10,NH065,Crude,BOC04,RAC03,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),13.8,13.8,,,10.8,17.6,Race,Hispanic,C2,T10,NH065,Crude,BOC04,RAC04,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Age-Standardized,Percent (%),14.1,14.1,,,10.7,18.2,Race,Hispanic,C2,T10,NH065,AgeStdz,BOC04,RAC04,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Age-Standardized,Percent (%),11.5,11.5,,,7.3,17.6,Race,Other,C2,T10,NH065,AgeStdz,BOC04,RAC07,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),11.6,11.6,,,7.3,18.0,Race,Other,C2,T10,NH065,Crude,BOC04,RAC07,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Overall,Overall,C2,T10,NH066,Crude,BOC01,OVR01,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Overall,Overall,C2,T10,NH066,AgeStdz,BOC01,OVR01,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Gender,Male,C2,T10,NH066,AgeStdz,BOC02,GEN01,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Gender,Male,C2,T10,NH066,Crude,BOC02,GEN01,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Gender,Female,C2,T10,NH066,AgeStdz,BOC02,GEN02,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Gender,Female,C2,T10,NH066,Crude,BOC02,GEN02,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,20-24,C2,T10,NH066,Crude,BOC03,AGE02,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,21-24,C2,T10,NH066,Crude,BOC03,AGE03,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,25-44,C2,T10,NH066,Crude,BOC03,AGE04,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,45-64,C2,T10,NH066,Crude,BOC03,AGE05,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,65+,C2,T10,NH066,Crude,BOC03,AGE06,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,35+,C2,T10,NH066,Crude,BOC03,AGE07,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,75+,C2,T10,NH066,Crude,BOC03,AGE08,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic White,C2,T10,NH066,Crude,BOC04,RAC01,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic White,C2,T10,NH066,AgeStdz,BOC04,RAC01,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Black,C2,T10,NH066,AgeStdz,BOC04,RAC02,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Black,C2,T10,NH066,Crude,BOC04,RAC02,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C2,T10,NH066,Crude,BOC04,RAC03,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C2,T10,NH066,AgeStdz,BOC04,RAC03,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C2,T10,NH066,AgeStdz,BOC04,RAC04,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C2,T10,NH066,Crude,BOC04,RAC04,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Other,C2,T10,NH066,Crude,BOC04,RAC07,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Other,C2,T10,NH066,AgeStdz,BOC04,RAC07,59,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); NHANES,Age-Standardized,Percent (%),12.1,12.1,,,8.3,17.3,Race,Other,C2,T11,NH070,AgeStdz,BOC04,RAC07,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Overall,Overall,C2,T10,NH066,AgeStdz,BOC01,OVR01,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Overall,Overall,C2,T10,NH066,Crude,BOC01,OVR01,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Gender,Male,C2,T10,NH066,Crude,BOC02,GEN01,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Gender,Male,C2,T10,NH066,AgeStdz,BOC02,GEN01,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Gender,Female,C2,T10,NH066,AgeStdz,BOC02,GEN02,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Gender,Female,C2,T10,NH066,Crude,BOC02,GEN02,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,20-24,C2,T10,NH066,Crude,BOC03,AGE02,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,21-24,C2,T10,NH066,Crude,BOC03,AGE03,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,25-44,C2,T10,NH066,Crude,BOC03,AGE04,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,45-64,C2,T10,NH066,Crude,BOC03,AGE05,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,65+,C2,T10,NH066,Crude,BOC03,AGE06,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,35+,C2,T10,NH066,Crude,BOC03,AGE07,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,75+,C2,T10,NH066,Crude,BOC03,AGE08,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic White,C2,T10,NH066,AgeStdz,BOC04,RAC01,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic White,C2,T10,NH066,Crude,BOC04,RAC01,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Black,C2,T10,NH066,Crude,BOC04,RAC02,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Black,C2,T10,NH066,AgeStdz,BOC04,RAC02,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C2,T10,NH066,AgeStdz,BOC04,RAC03,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C2,T10,NH066,Crude,BOC04,RAC03,59,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); NHANES,Age-Standardized,Percent (%),11.2,11.2,,,9.8,12.8,Overall,Overall,C2,T11,NH070,AgeStdz,BOC01,OVR01,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C2,T10,NH066,AgeStdz,BOC04,RAC04,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C2,T10,NH066,Crude,BOC04,RAC04,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Other,C2,T10,NH066,Crude,BOC04,RAC07,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Other,C2,T10,NH066,AgeStdz,BOC04,RAC07,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Overall,Overall,C2,T10,NH066,AgeStdz,BOC01,OVR01,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Overall,Overall,C2,T10,NH066,Crude,BOC01,OVR01,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Gender,Male,C2,T10,NH066,Crude,BOC02,GEN01,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Gender,Male,C2,T10,NH066,AgeStdz,BOC02,GEN01,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Gender,Female,C2,T10,NH066,AgeStdz,BOC02,GEN02,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Gender,Female,C2,T10,NH066,Crude,BOC02,GEN02,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,20-24,C2,T10,NH066,Crude,BOC03,AGE02,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,21-24,C2,T10,NH066,Crude,BOC03,AGE03,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,25-44,C2,T10,NH066,Crude,BOC03,AGE04,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,45-64,C2,T10,NH066,Crude,BOC03,AGE05,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,65+,C2,T10,NH066,Crude,BOC03,AGE06,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,35+,C2,T10,NH066,Crude,BOC03,AGE07,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,75+,C2,T10,NH066,Crude,BOC03,AGE08,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic White,C2,T10,NH066,Crude,BOC04,RAC01,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic White,C2,T10,NH066,AgeStdz,BOC04,RAC01,59,
2005-2006,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Age,35+,C2,T10,NH066,Crude,BOC03,AGE07,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Black,C2,T10,NH066,AgeStdz,BOC04,RAC02,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Black,C2,T10,NH066,Crude,BOC04,RAC02,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C2,T10,NH066,Crude,BOC04,RAC03,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C2,T10,NH066,AgeStdz,BOC04,RAC03,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C2,T10,NH066,Crude,BOC04,RAC04,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C2,T10,NH066,AgeStdz,BOC04,RAC04,59,
